"","epoch_type","config","seed_split","m","step_size","kernel_size_h","kernel_size_w","kernel_shape","num_kernel","pool_size_h","pool_size_w","fcl_size","dropout","optimizer","learning_rate","batch_size","num_epoch"
"188","30s",38,7,45,2,3,1,"long rec",16,3,5,16,0.5,"adam",0.001,100,150
"189","30s",38,155,45,2,3,1,"long rec",16,3,5,16,0.5,"adam",0.001,100,150
"190","30s",38,642,45,2,3,1,"long rec",16,3,5,16,0.5,"adam",0.001,100,150
"191","30s",39,890,45,2,1,3,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"192","30s",39,9818,45,2,1,3,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"193","30s",39,7,45,2,1,3,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"194","30s",39,155,45,2,1,3,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"195","30s",39,642,45,2,1,3,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"196","30s",40,890,45,2,3,3,"square",16,3,5,16,0.5,"adam",0.001,100,150
"197","30s",40,9818,45,2,3,3,"square",16,3,5,16,0.5,"adam",0.001,100,150
"198","30s",40,7,45,2,3,3,"square",16,3,5,16,0.5,"adam",0.001,100,150
"199","30s",40,155,45,2,3,3,"square",16,3,5,16,0.5,"adam",0.001,100,150
"200","30s",40,642,45,2,3,3,"square",16,3,5,16,0.5,"adam",0.001,100,150
"201","30s",41,890,45,2,1,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"202","30s",41,9818,45,2,1,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"203","30s",41,7,45,2,1,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"204","30s",41,155,45,2,1,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"205","30s",41,642,45,2,1,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"206","30s",42,890,45,2,3,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"207","30s",42,9818,45,2,3,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"208","30s",42,7,45,2,3,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"209","30s",42,155,45,2,3,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"210","30s",42,642,45,2,3,5,"wide rec",16,3,5,16,0.5,"adam",0.001,100,150
"211","30s",43,890,45,2,1,1,"square",16,4,5,16,0.5,"adam",0.001,100,150
"212","30s",43,9818,45,2,1,1,"square",16,4,5,16,0.5,"adam",0.001,100,150
"213","30s",43,7,45,2,1,1,"square",16,4,5,16,0.5,"adam",0.001,100,150
"214","30s",43,155,45,2,1,1,"square",16,4,5,16,0.5,"adam",0.001,100,150
"215","30s",43,642,45,2,1,1,"square",16,4,5,16,0.5,"adam",0.001,100,150
"216","30s",44,890,45,2,3,1,"long rec",16,4,5,16,0.5,"adam",0.001,100,150
"217","30s",44,9818,45,2,3,1,"long rec",16,4,5,16,0.5,"adam",0.001,100,150
"218","30s",44,7,45,2,3,1,"long rec",16,4,5,16,0.5,"adam",0.001,100,150
"219","30s",44,155,45,2,3,1,"long rec",16,4,5,16,0.5,"adam",0.001,100,150
"220","30s",44,642,45,2,3,1,"long rec",16,4,5,16,0.5,"adam",0.001,100,150
"221","30s",45,890,45,2,1,3,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"222","30s",45,9818,45,2,1,3,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"223","30s",45,7,45,2,1,3,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"224","30s",45,155,45,2,1,3,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"225","30s",45,642,45,2,1,3,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"226","30s",46,890,45,2,3,3,"square",16,4,5,16,0.5,"adam",0.001,100,150
"227","30s",46,9818,45,2,3,3,"square",16,4,5,16,0.5,"adam",0.001,100,150
"228","30s",46,7,45,2,3,3,"square",16,4,5,16,0.5,"adam",0.001,100,150
"229","30s",46,155,45,2,3,3,"square",16,4,5,16,0.5,"adam",0.001,100,150
"230","30s",46,642,45,2,3,3,"square",16,4,5,16,0.5,"adam",0.001,100,150
"231","30s",47,890,45,2,1,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"232","30s",47,9818,45,2,1,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"233","30s",47,7,45,2,1,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"234","30s",47,155,45,2,1,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"235","30s",47,642,45,2,1,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"236","30s",48,890,45,2,3,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"237","30s",48,9818,45,2,3,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"238","30s",48,7,45,2,3,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"239","30s",48,155,45,2,3,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"240","30s",48,642,45,2,3,5,"wide rec",16,4,5,16,0.5,"adam",0.001,100,150
"241","30s",49,890,45,2,1,1,"square",16,5,5,16,0.5,"adam",0.001,100,150
"242","30s",49,9818,45,2,1,1,"square",16,5,5,16,0.5,"adam",0.001,100,150
"243","30s",49,7,45,2,1,1,"square",16,5,5,16,0.5,"adam",0.001,100,150
"244","30s",49,155,45,2,1,1,"square",16,5,5,16,0.5,"adam",0.001,100,150
"245","30s",49,642,45,2,1,1,"square",16,5,5,16,0.5,"adam",0.001,100,150
"246","30s",50,890,45,2,3,1,"long rec",16,5,5,16,0.5,"adam",0.001,100,150
"247","30s",50,9818,45,2,3,1,"long rec",16,5,5,16,0.5,"adam",0.001,100,150
"248","30s",50,7,45,2,3,1,"long rec",16,5,5,16,0.5,"adam",0.001,100,150
"249","30s",50,155,45,2,3,1,"long rec",16,5,5,16,0.5,"adam",0.001,100,150
"250","30s",50,642,45,2,3,1,"long rec",16,5,5,16,0.5,"adam",0.001,100,150
"251","30s",51,890,45,2,1,3,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"252","30s",51,9818,45,2,1,3,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"253","30s",51,7,45,2,1,3,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"254","30s",51,155,45,2,1,3,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"255","30s",51,642,45,2,1,3,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"256","30s",52,890,45,2,3,3,"square",16,5,5,16,0.5,"adam",0.001,100,150
"257","30s",52,9818,45,2,3,3,"square",16,5,5,16,0.5,"adam",0.001,100,150
"258","30s",52,7,45,2,3,3,"square",16,5,5,16,0.5,"adam",0.001,100,150
"259","30s",52,155,45,2,3,3,"square",16,5,5,16,0.5,"adam",0.001,100,150
"260","30s",52,642,45,2,3,3,"square",16,5,5,16,0.5,"adam",0.001,100,150
"261","30s",53,890,45,2,1,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"262","30s",53,9818,45,2,1,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"263","30s",53,7,45,2,1,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"264","30s",53,155,45,2,1,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"265","30s",53,642,45,2,1,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"266","30s",54,890,45,2,3,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"267","30s",54,9818,45,2,3,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"268","30s",54,7,45,2,3,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"269","30s",54,155,45,2,3,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"270","30s",54,642,45,2,3,5,"wide rec",16,5,5,16,0.5,"adam",0.001,100,150
"271","30s",55,890,60,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"272","30s",55,9818,60,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"273","30s",55,7,60,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"274","30s",55,155,60,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"275","30s",55,642,60,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"276","30s",56,890,60,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"277","30s",56,9818,60,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"278","30s",56,7,60,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"279","30s",56,155,60,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"280","30s",56,642,60,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"281","30s",57,890,60,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"282","30s",57,9818,60,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"283","30s",57,7,60,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"284","30s",57,155,60,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"285","30s",57,642,60,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"286","30s",58,890,60,2,3,3,"square",16,3,3,16,0.5,"adam",0.001,100,150
"287","30s",58,9818,60,2,3,3,"square",16,3,3,16,0.5,"adam",0.001,100,150
"288","30s",58,7,60,2,3,3,"square",16,3,3,16,0.5,"adam",0.001,100,150
"289","30s",58,155,60,2,3,3,"square",16,3,3,16,0.5,"adam",0.001,100,150
