row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h,kernel_size_w,kernel_shape,num_kernel,pool_size_h,pool_size_w,fcl_size,dropout,optimizer,learning_rate,batch_size,num_epoch,config_align,val_accuracy,val_recall,val_precision,val_AUC,compute_cost,criteria
20686,3,14,"hourofday,age,sex,acc,temp,eda",5min,FALSE,76,18,2,3,3,square,16,3,3,16,0.5,adam,0.001,100,150,328,0.9259836196899414,0.8465537667274475,0.9222080707550049,0.9660179615020752,10.398852443695068,val_accuracy
19401,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,51,15,2,1,3,wide rec,16,3,4,16,0.5,adam,0.001,100,150,51,0.923780620098114,0.871060574054718,0.8912094593048095,0.9643282413482666,12.165244483947754,val_accuracy
20094,2,14,"hourofday,age,sex,acc,eda,temp",5min,FALSE,114,18,2,3,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,240,0.9236138343811036,0.860244882106781,0.9031315565109252,0.9656148076057434,11.39233922958374,val_accuracy
21351,4,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,111,18,2,1,3,wide rec,16,3,5,16,0.5,adam,0.001,100,150,489,0.9201826691627503,0.8404248952865601,0.9104745268821717,0.9546801209449768,10.350342512130737,val_accuracy
21981,5,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,111,18,2,1,3,wide rec,16,3,5,16,0.5,adam,0.001,100,150,615,0.9201826691627503,0.8404248952865601,0.9104745268821717,0.9546801209449768,10.652171659469605,val_accuracy
18757,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,37,15,2,1,1,square,16,3,3,16,0.5,adam,0.001,100,150,541,0.9333107233047485,0.8561789393424988,0.9324398517608643,0.9592432498931884,7.671852970123291,val_accuracy
17484,3,19,"hourofday,age,sex,acc,hr,eda,temp",5min,TRUE,24,12,2,3,3,square,16,5,4,16,0.5,adam,0.001,100,150,276,0.9313313364982605,0.8590542912483216,0.92442307472229,0.9683986306190491,12.489170455932618,val_accuracy
18131,4,19,"hourofday,age,sex,temp,hr,acc,eda",5min,TRUE,41,15,2,1,1,square,16,4,3,16,0.5,adam,0.001,100,150,419,0.9311178207397461,0.856672728061676,0.9248730897903442,0.9560399174690246,8.878702116012573,val_accuracy
16213,1,19,"hourofday,age,sex,eda,acc,temp,hr",5min,TRUE,13,12,2,1,1,square,16,3,4,16,0.5,adam,0.001,100,150,13,0.9310023427009583,0.8649733901023865,0.9171613097190857,0.9609971880912781,11.245880889892579,val_accuracy
16867,2,19,"hourofday,age,sex,temp,acc,eda,hr",5min,TRUE,37,15,2,1,1,square,16,3,3,16,0.5,adam,0.001,100,150,163,0.9307675123214721,0.8646272659301758,0.9170128345489502,0.9576932072639466,10.050177812576294,val_accuracy
12191,1,14,"hourofday,age,sex,eda,acc,temp",1min,FALSE,41,45,2,1,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,41,0.9052820444107056,0.8954371809959412,0.8295129418373108,0.9601487159729004,49.0626576423645,val_recall
13020,2,14,"hourofday,age,sex,acc,eda,temp",1min,FALSE,60,60,2,3,5,wide rec,16,3,3,16,0.5,adam,0.001,100,150,222,0.8904690027236939,0.8915618658065796,0.8037552237510681,0.9516616940498352,44.62622961997986,val_recall
13788,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,18,45,2,3,5,wide rec,16,5,3,16,0.5,adam,0.001,100,150,342,0.8958970785140992,0.8889680504798889,0.81609628200531,0.9552666902542114,47.73653326034546,val_recall
14697,4,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,117,75,2,1,3,wide rec,16,4,3,16,0.5,adam,0.001,100,150,603,0.898390257358551,0.8710069179534912,0.827626371383667,0.9484626173973083,44.39078140258789,val_recall
15507,5,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,117,75,2,1,3,wide rec,16,4,3,16,0.5,adam,0.001,100,150,765,0.898390257358551,0.8710069179534912,0.827626371383667,0.9484626173973083,43.704422330856325,val_recall
8949,2,19,"hourofday,age,sex,temp,acc,eda,hr",1min,TRUE,39,45,2,1,3,wide rec,16,3,5,16,0.5,adam,0.001,100,150,201,0.9086809515953064,0.8944663047790528,0.8370486617088317,0.9597603559494019,33.78583340644836,val_recall
9843,3,19,"hourofday,age,sex,acc,hr,eda,temp",1min,TRUE,123,75,2,1,3,wide rec,16,5,3,16,0.5,adam,0.001,100,150,447,0.9188355445861817,0.8891329050064087,0.8668362379074097,0.9604611158370971,43.621890449523924,val_recall
10551,4,19,"hourofday,age,sex,temp,hr,acc,eda",1min,TRUE,21,45,2,1,3,wide rec,16,3,4,16,0.5,adam,0.001,100,150,507,0.9165589809417725,0.8855048894882203,0.8607569456100463,0.9543270707130432,39.123538970947266,val_recall
11464,5,19,"hourofday,age,sex,hr,acc,eda,temp",1min,TRUE,124,75,2,3,3,square,16,5,3,16,0.5,adam,0.001,100,150,772,0.9288215041160583,0.8777180075645447,0.8991011142730713,0.960530698299408,52.14289922714234,val_recall
8225,1,19,"hourofday,age,sex,eda,acc,temp,hr",1min,TRUE,125,75,2,1,5,wide rec,16,5,3,16,0.5,adam,0.001,100,150,125,0.9156323075294495,0.8724550366401672,0.8633731484413147,0.9591360449790954,64.057816696167,val_recall
4179,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,129,75,2,1,3,wide rec,16,3,4,16,0.5,adam,0.001,100,150,129,0.8706928491592407,0.898407244682312,0.7607999920845032,0.9305101871490479,67.95652356147767,val_recall
5770,3,14,"hourofday,age,sex,acc,temp,eda",30s,FALSE,100,60,2,3,3,square,16,4,5,16,0.5,adam,0.001,100,150,424,0.8674900650978088,0.8970170974731445,0.7634611368179322,0.9248667120933532,86.33821258544921,val_recall
4998,2,14,"hourofday,age,sex,acc,eda,temp",30s,FALSE,138,75,2,3,5,wide rec,16,4,4,16,0.5,adam,0.001,100,150,300,0.8799604654312134,0.8896478414535522,0.7825330376625061,0.9540608882904053,87.7138994693756,val_recall
6581,4,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,101,60,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,587,0.885515284538269,0.8687700033187866,0.7981356739997864,0.945874834060669,80.86909966468811,val_recall
7391,5,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,101,60,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,749,0.885515284538269,0.8687700033187866,0.7981356739997864,0.945874834060669,80.49955735206603,val_recall
1739,3,19,"hourofday,age,sex,acc,hr,eda,temp",30s,TRUE,119,75,2,1,5,wide rec,16,4,3,16,0.5,adam,0.001,100,150,443,0.8968939185142517,0.9010269403457641,0.8126836895942688,0.9492063879966736,90.09685974121093,val_recall
