epoch,hr,seed_split,seed_model,feature,rank
30s,1,890,904,hr_q3,13
30s,1,890,904,hr_mean,14
30s,1,890,904,hr_q1,15
30s,1,890,904,temp_mean,16
30s,1,890,904,temp_q1,17
30s,1,890,904,temp_q2,18
30s,1,890,904,hr_q2,19
30s,1,9818,904,hourofday,1
30s,1,9818,904,age,2
30s,1,9818,904,acc_q1,3
30s,1,9818,904,acc_mean,4
30s,1,9818,904,acc_q2,5
30s,1,9818,904,acc_sd,6
30s,1,9818,904,sex,7
30s,1,9818,904,temp_sd,8
30s,1,9818,904,acc_q3,9
30s,1,9818,904,hr_sd,10
30s,1,9818,904,eda_cat,11
30s,1,9818,904,hr_q3,12
30s,1,9818,904,temp_q3,13
30s,1,9818,904,hr_mean,14
30s,1,9818,904,temp_q1,15
30s,1,9818,904,temp_mean,16
30s,1,9818,904,temp_q2,17
30s,1,9818,904,hr_q1,18
30s,1,9818,904,hr_q2,19
30s,1,7,904,hourofday,1
30s,1,7,904,age,2
30s,1,7,904,acc_sd,3
30s,1,7,904,acc_q1,4
30s,1,7,904,acc_mean,5
30s,1,7,904,temp_sd,6
30s,1,7,904,acc_q2,7
30s,1,7,904,sex,8
30s,1,7,904,acc_q3,9
30s,1,7,904,hr_sd,10
30s,1,7,904,eda_cat,11
30s,1,7,904,hr_q3,12
30s,1,7,904,hr_mean,13
30s,1,7,904,temp_q3,14
30s,1,7,904,hr_q1,15
30s,1,7,904,temp_q2,16
30s,1,7,904,temp_mean,17
30s,1,7,904,temp_q1,18
30s,1,7,904,hr_q2,19
30s,1,155,904,hourofday,1
30s,1,155,904,age,2
30s,1,155,904,acc_q1,3
30s,1,155,904,acc_sd,4
30s,1,155,904,acc_mean,5
30s,1,155,904,acc_q2,6
30s,1,155,904,temp_sd,7
30s,1,155,904,acc_q3,8
30s,1,155,904,sex,9
30s,1,155,904,hr_sd,10
30s,1,155,904,eda_cat,11
30s,1,155,904,hr_mean,12
30s,1,155,904,hr_q3,13
30s,1,155,904,temp_q3,14
30s,1,155,904,hr_q1,15
30s,1,155,904,temp_q1,16
30s,1,155,904,temp_q2,17
30s,1,155,904,temp_mean,18
30s,1,155,904,hr_q2,19
30s,1,642,904,hourofday,1
30s,1,642,904,age,2
30s,1,642,904,acc_q1,3
30s,1,642,904,acc_mean,4
30s,1,642,904,temp_sd,5
30s,1,642,904,acc_q2,6
30s,1,642,904,acc_sd,7
30s,1,642,904,sex,8
30s,1,642,904,acc_q3,9
30s,1,642,904,hr_sd,10
30s,1,642,904,eda_cat,11
30s,1,642,904,hr_mean,12
30s,1,642,904,temp_q3,13
30s,1,642,904,temp_q2,14
30s,1,642,904,temp_q1,15
30s,1,642,904,hr_q3,16
30s,1,642,904,temp_mean,17
30s,1,642,904,hr_q1,18
30s,1,642,904,hr_q2,19
1min,1,890,18,hourofday,1
1min,1,890,18,age,2
1min,1,890,18,temp_sd,3
1min,1,890,18,acc_q1,4
1min,1,890,18,acc_sd,5
1min,1,890,18,acc_mean,6
1min,1,890,18,acc_q2,7
1min,1,890,18,acc_q3,8
1min,1,890,18,sex,9
1min,1,890,18,hr_sd,10
1min,1,890,18,eda_cat,11
1min,1,890,18,hr_mean,12
1min,1,890,18,hr_q3,13
1min,1,890,18,temp_q2,14
1min,1,890,18,temp_q3,15
1min,1,890,18,temp_q1,16
1min,1,890,18,hr_q1,17
1min,1,890,18,temp_mean,18
1min,1,890,18,hr_q2,19
1min,1,9818,18,hourofday,1
1min,1,9818,18,age,2
1min,1,9818,18,temp_sd,3
1min,1,9818,18,acc_q1,4
1min,1,9818,18,acc_sd,5
1min,1,9818,18,acc_q2,6
1min,1,9818,18,acc_mean,7
1min,1,9818,18,sex,8
1min,1,9818,18,acc_q3,9
1min,1,9818,18,hr_sd,10
1min,1,9818,18,eda_cat,11
1min,1,9818,18,hr_q3,12
1min,1,9818,18,hr_mean,13
1min,1,9818,18,temp_q2,14
1min,1,9818,18,hr_q1,15
1min,1,9818,18,temp_q1,16
1min,1,9818,18,temp_q3,17
1min,1,9818,18,hr_q2,18
1min,1,9818,18,temp_mean,19
1min,1,7,18,hourofday,1
1min,1,7,18,age,2
1min,1,7,18,temp_sd,3
1min,1,7,18,acc_q1,4
1min,1,7,18,acc_q2,5
1min,1,7,18,acc_sd,6
1min,1,7,18,acc_mean,7
1min,1,7,18,acc_q3,8
1min,1,7,18,sex,9
1min,1,7,18,hr_sd,10
1min,1,7,18,eda_cat,11
1min,1,7,18,hr_q3,12
1min,1,7,18,hr_mean,13
1min,1,7,18,temp_q2,14
1min,1,7,18,temp_mean,15
1min,1,7,18,hr_q1,16
1min,1,7,18,temp_q1,17
1min,1,7,18,temp_q3,18
1min,1,7,18,hr_q2,19
1min,1,155,18,hourofday,1
1min,1,155,18,age,2
1min,1,155,18,temp_sd,3
1min,1,155,18,acc_q1,4
1min,1,155,18,acc_mean,5
1min,1,155,18,acc_sd,6
