seed_split,align,l,modal,var_lst,epoch,hr
890,3,19,"hourofday,age,sex,acc,hr,eda,temp","hourofday,age,temp_sd,acc_q1,acc_mean,acc_sd,acc_q3,sex,acc_q2,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q3,hr_q1,temp_q1,temp_mean,hr_q2",1min,TRUE
9818,3,19,"hourofday,age,sex,acc,hr,eda,temp","hourofday,age,temp_sd,acc_q1,acc_sd,acc_q2,sex,acc_mean,acc_q3,hr_sd,eda_cat,hr_mean,hr_q3,hr_q1,temp_q2,temp_q1,temp_q3,hr_q2,temp_mean",1min,TRUE
7,3,19,"hourofday,age,sex,acc,hr,eda,temp","hourofday,age,temp_sd,acc_sd,acc_q1,acc_q2,acc_mean,acc_q3,sex,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,hr_q1,temp_q3,temp_mean,temp_q1,hr_q2",1min,TRUE
155,3,19,"hourofday,age,sex,acc,hr,eda,temp","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,hr_mean,eda_cat,hr_q3,hr_q1,temp_q1,temp_q2,temp_q3,hr_q2,temp_mean",1min,TRUE
642,3,19,"hourofday,age,sex,acc,hr,eda,temp","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q1,hr_q1,temp_q3,temp_mean,hr_q2",1min,TRUE
890,4,19,"hourofday,age,sex,temp,hr,acc,eda","hourofday,age,temp_sd,acc_q1,acc_mean,acc_sd,acc_q3,sex,acc_q2,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q3,hr_q1,temp_q1,temp_mean,hr_q2",1min,TRUE
9818,4,19,"hourofday,age,sex,temp,hr,acc,eda","hourofday,age,temp_sd,acc_q1,acc_sd,acc_q2,sex,acc_mean,acc_q3,hr_sd,eda_cat,hr_mean,hr_q3,hr_q1,temp_q2,temp_q1,temp_q3,hr_q2,temp_mean",1min,TRUE
7,4,19,"hourofday,age,sex,temp,hr,acc,eda","hourofday,age,temp_sd,acc_sd,acc_q1,acc_q2,acc_mean,acc_q3,sex,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,hr_q1,temp_q3,temp_mean,temp_q1,hr_q2",1min,TRUE
155,4,19,"hourofday,age,sex,temp,hr,acc,eda","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,hr_mean,eda_cat,hr_q3,hr_q1,temp_q1,temp_q2,temp_q3,hr_q2,temp_mean",1min,TRUE
642,4,19,"hourofday,age,sex,temp,hr,acc,eda","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q1,hr_q1,temp_q3,temp_mean,hr_q2",1min,TRUE
890,5,19,"hourofday,age,sex,hr,acc,eda,temp","hourofday,age,temp_sd,acc_q1,acc_mean,acc_sd,acc_q3,sex,acc_q2,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q3,hr_q1,temp_q1,temp_mean,hr_q2",1min,TRUE
9818,5,19,"hourofday,age,sex,hr,acc,eda,temp","hourofday,age,temp_sd,acc_q1,acc_sd,acc_q2,sex,acc_mean,acc_q3,hr_sd,eda_cat,hr_mean,hr_q3,hr_q1,temp_q2,temp_q1,temp_q3,hr_q2,temp_mean",1min,TRUE
